Entry	Interacts with
Q8TGU1	
Q08728	
P53273	
P43624	
P42942	
Q03480	
Q04434	
A0A023PZG5	
Q03083	
Q12394	
Q12024	Q04660
Q03780	P38041; P39969; P39743
Q12027	
Q06616	
Q06813	
Q06595	
Q08958	
P41920	
P40105	
P53884	
P20095	
P0CX40	
P39709	
P14359	P40540; P39940
P38324	Q12098
P23624	P32562
P53824	
P38858	
P53315	
P53327	
P38839	
P34111	
Q05506	
Q06078	P38333; P25635; Q05022; P40362; Q02354
O13549	
P38275	
P38256	
Q3E819	
Q03935	
P38616	
P46945	
P40521	
Q3E837	
P0C2J7	
P32331	
Q3E7Z1	
Q8TGT4	
P38834	
P0CX63	
Q12528	
Q3E782	
P32843	
A0A023PZF9	
P39978	
Q2V2P4	
P53247	
A0A023PXP4	
A0A023PZG4	
Q05899	
P43537	
Q04100	
Q08241	
P87287	
Q03482	
P53325	
Q12506	
Q02590	
P0C5R7	
O13521	
P0C5M0	
A0A0B7P3V8	
P38064	
Q03441	
P32349	P32910
P22139	P08518
P40422	
P46974	
P07560	P39958; P17065; P53845; P53633; P53093
O94742	P38348; Q06103; Q08231
Q04491	Q03897; P49687; P38968
P25365	
Q04279	
P36124	P02309; P61830
P38890	P02309; P61830; P62805
P40090	Q04002
P17122	
P31109	
Q06160	
P38717	
P53148	Q04431; P40460
P24276	P53894; P38074
P29340	P39718
P53228	
P38756	
Q12030	Q12060; Itself; Q04226; Q03761; P11747; P53040; Q03750
P07236	
P32318	
P40463	
P38292	
Q12746	
P33297	P38348; P40555; P38764; P38886; P53196; P33299; P33298; P53549
P25451	P25043
Q12498	P38768
Q12459	
P04161	
P25648	
O74700	P87108
P53916	
P36096	
Q08747	
P39944	
Q08831	
Q12215	
P25606	
P0C268	
P38294	
P34215	
Q3E7Z8	
P34248	
P53071	
A0A023PYJ7	
P53827	
Q03675	
Q3E801	
Q04674	
Q04501	
P47014	
Q3E7Z6	
Q3E739	
Q06170	
Q06251	
Q12261	
Q05503	
Q8TGP5	
P43622	
Q02606	
P0CX14	
O94084	
Q07521	
P33751	
P35056	P80667; P53112
P32452	
Q12144	
P46971	Itself
P38230	
P22289	
P07280	
P53189	
P34758	P32598
P52871	
P38241	
P32573	
Q12368	
P40210	
Q12104	
Q07478	Q12159
Q03175	
Q08919	P39940
P53146	P28791; Q12745; P41834
Q08474	
P32912	Q12255; Q12270; Q12241; P20795; P53845
P25630	
Q8TGU7	
P38296	
P38150	
Q3E787	
Q96VG5	
P47022	
Q04471	
P47021	
A0A023PXE8	
P36031	
P0CX93	
Q3E775	
P36111	
A0A023PXF2	
A0A023PXH2	
A0A023PZG9	
P38799	
Q3E814	
P33324	
Q3E7A6	
Q03823	
Q04835	
P38752	
P40093	
P32616	
Q03648	
Q3E817	
P54007	
Q8TGJ0	
P53287	
P0C5M9	
P53240	
P39972	
O13531	
P53269	
P0CX75	
O13565	
O13576	
P53862	
P40001	
P0CX71	
P87285	
Q3E7A2	
Q8TGL1	
Q07746	
Q03080	
Q04922	
P32435	
P53157	P38857; P53311
P48564	
P53128	P46151
P17967	P38888; P61823
Q12366	P47069
P38848	
P12868	P27801; P20795
P16467	
P38244	
P39684	
P25502	
P47148	
P32864	P32432; P36017; P38146; P36018
P38206	
P53879	P29509
P38127	
P29453	
P35718	P04051
P12383	P19659
P49704	
P80210	P33203; P39940
Q04048	Q03654; Q12309; P21374; P38302; P32523; P28004; P53277
Q04083	
P40071	
P16649	P14922; P40356; P48743; P32561
Q08282	
P53177	
P40554	P53088; P38820
Q04500	
P16140	P47104
P37265	
Q12235	
O74302	
Q07793	
Q12490	
O13511	
P40062	P33302
P39523	P40091; P40075; Q07657
Q04304	
Q04670	
P53981	
P0C5Q7	
Q8TGL7	
P38722	
P0CE99	
P0C2I5	
Q08216	
P53302	
Q08439	
Q12407	P02829
Q12307	
Q3E7Z9	
A0A023PXH9	
Q05948	
P0C1Z1	
P0C0V2	
Q3E789	
O13585	
O13519	
O13567	
O13564	
Q12204	
Q12079	
A0A023PXI5	
P53057	
P53303	
P53937	
Q12466	
Q03761	P35817; Q12060; Q12030; Itself; P50105
Q03533	
P47079	
P32774	P13393; P32773
P07213	Q07812
Q3E764	
P36164	
P52490	P53152
P23642	P39107
Q02725	
Q12266	
Q8TGQ6	
P40584	
Q06204	
P53211	
P53270	
P50089	
P0CF19	
Q12047	
Q8TGM3	
O13532	
Q04585	
Q12301	
O13522	
Q02872	
P40104	
Q06839	
P42844	P0CS91
Q12458	
O13569	
Q6B0W0	
A0A023PXB9	
P53170	P40530
P13130	
P04803	
Q08231	P06704; O94742
Q12256	
Q8TGP7	
P25577	
Q8TGK5	
P38322	
Q96VH2	
P47118	P53846
Q3E838	
A0A023PXL1	
P0CX17	
P40542	
Q08903	
P53162	
Q8TGM6	
P38705	
Q06836	
P53220	Q12328; P32897; Q02776; P49334
Q03322	P32602; Q08144; P38932; P36116; Q04338
Q03280	
P38152	
Q03714	P38307; Itself
Q07468	P20795
P39904	P36116; P47061; Q12071
P54787	
Q12206	Q12363
P25350	
P25657	
Q07438	
P38168	
Q3E820	
P25384	
Q8TGQ1	
P32618	P53253
P53964	
P53209	
P0CY02	
Q12322	
P53232	
Q08734	
Q06158	
Q12288	
Q08736	
A0A023PYE9	
Q03186	
P40102	
P36077	
P13393	P29056; P38304; P32333; Q01939; Q04712; Q03940; Q12464; P38915; P32774
Q12218	
P48560	
P32802	
P40414	
P40478	
P32563	P41807; P32366; P39111
Q12193	
P32788	
A0A023PXH5	
P40017	
P47004	
P0CL29	
O13534	
Q03207	
P53103	
P40211	
P46992	
P0C5P0	
P38831	
Q8TGN6	
Q04276	
Q03102	
P40536	
P53929	
Q04214	
P40543	
Q08816	
P40163	
O13574	
P0C2I8	
P53864	
P40168	
A0A023PZF2	
Q07950	
Q03983	
Q08293	
Q08604	
Q08993	
P0CX15	
Q99395	
P0CL37	
Q3E813	
P38690	
Q07471	P32896
Q06163	P17214; Q03096
P33753	
P53257	
P23644	P53969; P35180; P49334; Q07812
P17536	
Q12513	
P38358	
Q03308	P20795
P25351	
Q12260	
P38357	
P0CX92	
P38763	
P53749	
Q05867	
Q05898	
Q12424	
Q3E732	
P0C5P6	
Q08270	
Q8TGK9	
P87261	
P0C272	
P0CX60	
A0A023PXK2	
Q03049	
P0CX73	
Q02659	
O13520	
Q08419	
P53735	Q03455
P10863	
P23254	P39940; P33315
Q04600	
Q06685	
P40080	
P53241	
Q12448	
P38362	
P25563	
Q12491	
P38311	
P0C5P5	
P36114	
P53134	
P53089	
P53097	
P0C261	
Q12253	
P47184	
Q6B0Y7	
Q07888	
Q03879	
P47174	
P53729	
P0CY01	
P0CX72	
P53275	
P38708	
P53288	
P0CX65	
P43590	
P53222	
Q3E747	
P42936	
Q08681	
A0A023PYD9	
P87274	
Q6Q5X2	
Q12187	
Q3E6R5	
Q12160	
Q07688	P39928; Q07084
Q6Q5H1	
Q8TGL0	
P36019	P53845
P53049	Q04322
Q08954	
P01123	P39958; P22214; Q01590; P53845; P53633; P53093
P50111	P20449; Q04839
P35729	Itself; P36161; P49687; P52891; P46673
P53756	P40219; P20107
P31376	
P39706	P38123
P40342	Q12052
Q06817	
P39076	
P35189	P34218; P18480; P18888; Q08465
P41544	
Q03496	
P47049	P25694
Q7M4S9	
P14680	Q08273
A0A023PZF3	
P0CL34	
Q12391	
P0CX61	
A0A023PZE9	
P53820	
P47126	
A0A023PXM7	
P40587	
P40551	
P53340	
P40152	
P0CF00	
P53300	
P39953	
P87270	
Q04093	
O94085	
P0C5L8	
Q3E7Y8	
Q12439	
A0A023PYD7	
Q3E750	
P35691	
P33339	
P40552	
P31688	Q00764; P38426; P38427
Q12463	P53738
P53283	Q06451
P53840	Q08032; Q04659; P25588
P20049	
P53044	P25694; P38307; P33755; P06778; Q12306; Q04228
P34223	P25694; Q12743; P54860
P42839	
Q12063	
P39967	
P38882	Q04305; Q06679; P53276
P40343	P38753; P40509; P25604; P0CG53
Q12210	
P25654	
A0A023PZE6	
A0A023PYC6	
P38209	
P38338	
P39550	
P38194	
P38180	
P38083	
P53098	
P53132	
P38900	
P36092	
Q02203	
P0C5P1	
O13535	
Q8TGL8	
Q8TGU3	
P40497	
Q3E7Z2	
Q04867	
Q03177	
P53736	
P0C271	
P53908	
Q3E740	
Q06267	
P38775	
P43540	
P33199	
P40101	
A0A023PXG7	
O13523	
Q06698	
Q06821	
Q04162	
A0A023PYE4	
Q3E7A5	
P39999	
P40517	
Q08930	
A0A023PZM3	
P0CE96	
P53617	P38996; P04050; Q12149
Q06593	
P08018	Q12163; P40073
P40038	P17157
P40335	
P00635	
P38197	
Q07800	P12611
Q9ZZW2	
P42073	P32598
P32628	P25694; Q02890; P22141; P34222; P14736; P38764; P33299; P33298; Q01939; P18888; P0CG63; P54860; P0CG48
P32862	
Q00246	
P40339	P49956; P38877; Q12050; P32641
P0CX23	
P05747	
Q02685	P35187; P13099
Q03305	
P07703	P10964; P08518; P20436; P28000
P14681	P33306; Q03063; Q03373; P23561; P13574; P06784
Q07551	
P39081	Q08685; P25298; P25299; P40073; Q12159
Q12370	
Q06244	
P34230	P00330; P38013; P11076; P25373; P41909
P12753	P39009; P32829
P21827	
P38629	P49956; P38877; P32641; P40348
Q03778	
P0CH08	
Q12213	
P36080	P43586; P37838
P40016	Q12250; Q06103
P40992	Q04712; P32786
P0CX52	
P38072	
P33303	
Q01590	P53271; P40094; P38736; P22214; P43682; P22213; Q04338; P01123
P53313	
P87108	P32830; Q08749; O74700
P32830	P16892; P87108
P42223	
Q04675	
Q00416	P32598; P38996; P07276; Q02555; P04050
P32828	P40072
P40485	Itself; P53955
P11978	P38181; P11938; P40161; P06700; P06701; Q04437
P38219	
P40155	P53112
P32588	P40561
P40160	P34078; P05750
P0C2H9	
Q02204	
P22353	
P14063	
P05319	P05317; P10622
P53118	P43603
P10964	P53131; P22138; P07703
P28000	P07703
P32565	P38764; P19812
Q04062	P43588; Q12250; Q12377; Q08723; P33298
Q06506	P53254
P53165	P50875
P15367	P46965; Q12133
P47008	
P48415	P15303; P38968
P38166	
Q03323	P43132
P40316	Q03018
P34228	
P38827	P43132; Q02574; P38337; P0CS90; P36104
P42948	
P42941	
Q04951	
P32568	P36062; P33302
Q02793	P35207; P17883; Q08491; P23179
P00447	
P80667	P53933; P53901; Q12446; Q05568; Q04370; P53112; P32800; P35056; P40494; Q03497; P25604; P40453
Q9ZZX7	
P0C0W9	
P53881	
P43620	
P32561	P53691; P47103; P14922; Q03214; Q03213; P38255; P22579; P16649
P22138	P10964
P53117	
Q04225	
Q12108	
Q03516	
P14693	P18409; P50110; P53969
Q99314	Q04003
Q12118	P40515; Q12125; Q12285; P22214; Itself; P25491
P11075	
P43682	Q01590
Q12314	
P24280	P38797
P35179	P41543; Q99380; P32915; P38353; Q02795; P33767
Q00772	Q02336; Q06697; P89105; Q03330; P02829; P38692; P38439; P32490; P32491; P38351; P53064; P53599; P13574
Q12483	P47142; Q06696
Q03012	P21651
P10963	P33203; P39940
P33775	P31382; P47190
P40476	
Q12338	P53942; Q05635
Q04740	
P40018	P43321
P26783	P48524
P26786	
P32608	P35177
P48526	
P46654	
P28778	
P38120	
P40161	P32447; P61830; Itself; P11978
P38804	
P53078	
P40505	
P40357	Q12038; P32867
P22224	P19658; P38261
P22214	Q12154; Q12125; Q12285; P28791; Q01590; Q12118; P32867; P41834; P01123
P53011	P46673; P38164
P28707	P02829
P53012	
Q12033	P33400
P29468	Q06632; P45976; Q03735; Q01329
Q12477	P17157
P24867	P17157
P38725	
P31382	P33775; P52867
P53218	P41812; P38336; P38291
P32383	Q06132
P46999	
P23639	P23638; P21243
P42946	
P0C0W1	
P38781	Q06639
P0CX39	
Q01163	
P53305	
P38707	
P89114	P32489
Q12136	Q03532; P20448; P32899; P25586; P47083; Q99207; P53317; Q12481; Itself; P40498; Q02354
Q3E785	
P25554	Q12060; P32494; P68431
P17065	Itself; P07560
P21825	P32915; P14906
P32564	
Q06168	
P53953	P15303
Q08749	P87108
P39707	
P16658	Q02825
Q12041	
P34166	
Q08925	
P32906	
P53745	
P0CX49	
P36527	
P36159	
Q12224	
Q12754	P36049; P43586; Q12176; P37838
Q05636	P53859; P46948
Q3E754	
P12686	
Q03067	Q6WNK7
P29478	P38985; P32342; P38688
P32855	P38261; P43603; P39743; P32844; P32793
Q05567	Itself
P39000	
Q02825	P16658
Q12420	
P40031	
P53541	
P53136	Q02892
P53632	P40507; Q12476; P47047; P0CS90
P38351	Q06697; P89105; P38439; P53064; Q00772
P25693	P17157; P10591
Q05518	
Q08966	P17157
P35994	
P33760	P24004; P53112; Q08215
P38264	P17064; P38353
P24031	
P05030	
Q9ZZW3	
P05743	
P14126	P17555
P36523	
P38764	P32628; P38886; P32565; P33299; P40327; P33297; Q01939
P25368	P32790; P53254
P0CX34	
P05759	
Q03124	
O13516	
P40084	
P47150	
P38345	
P53172	
P11792	
Q12369	P06704
P42949	Q07914; P39515; P32897; Q01852
Q02455	P40457; P32505
P53102	
Q99316	
P40549	
P38879	Q02642; P15731
Q03735	P29468
Q03503	Q02197
P40354	
Q04264	P32908
Q12511	
P16861	P16862
P10834	
P25584	
P38953	P25454; P25301; P12954
P19541	
P38876	
P29461	
P30620	
P50896	
P36528	
P25359	P53859; Q08962; P38768; P46948
Q12277	P53859; P48240; P46948
P02407	
Q08417	
P32368	P38713
P53064	Q06697; P89105; P38439; P38351; P04050; Q00772; P27692
P10663	
Q12330	P40204; P54999
P20606	P15303
Q05900	
P53330	P32597; P32591
P53072	
P39955	Q05080; P36006; Q04439
P53075	
P38713	P45818; P32368; P40075
P39937	
P53167	
Q05672	
P38222	
P04456	Q01560
P0CX82	
P14120	
P12687	
P35996	
P36160	Q12176; P39744; Q02892; P40010; Q08746; P25582
P53942	Q05635; Q12338
P0CX47	
Q02206	
P0CX36	
Q07794	P25293; P53853
P38200	
Q04401	
Q06132	Q12099; P32383
Q12745	P53847; P33891; P53146
P09435	
P32581	
P43623	
P40260	P53390
P41948	
P38250	P53286
P01094	
O13555	
P53193	Q03020
P25583	
P25270	
P32559	
P53077	
P40314	
Q12387	
P34077	P47054; Q02199; Q03790; P48837
P38757	P18410
Q99210	
P53035	
P53583	
Q08750	
Q08920	Q02821; P34160
Q07896	P39744; P25582
P46970	
P0CE68	
P32860	
P53742	Q12176; Q12522
P16387	
Q06651	
P33302	Q12200; Q02785; Itself; P32568; P40062; Q08234; P32804
P40473	
P19881	
P06197	
P40302	Q12245; P30656
P32524	Q07350
Q12417	P28004
P08468	
P32857	
P40555	P38872; P33297
P25847	P39875; P25336; Q03834
P53725	
P15424	
P38069	
Q04149	P38257
P38795	
P46955	
Q12200	P33302
P11632	P32597
Q06287	Itself; Q99207
P0CE87	
P53124	P17157
P17442	P17157
P25586	P38333; P42846; P15646; Q12481; Q12136; P53866; P40362; P53254; Q02354
P38692	P32464; Q00772; Q08817
P50107	
O14467	
P39014	Q12018; Itself; P32389; P52286; Q12020
Q08471	
P39107	P32629; P23642
Q08818	
P53163	
P08593	
Q99189	
Q12163	P40563; P48562; P08018; P35182; Q03497
Q06810	P32334
P46964	P52870; P32915
P38325	
P36102	P04147; P53010
A0A023PXB5	
P32361	Q05924; Itself
P32488	
P47010	
P40309	
P21965	Q00684; P19812
Q03829	
P34160	Q08920
P38302	Q03654; Q12309; P32523; Q06091; Q04048; P53277
P21957	P40075; P22579
P32473	
Q03723	
Q06169	Itself
P53295	Q03768
P53859	P48240; P38792; Q08285; Q12277; P25359; Q05636; P53256; P46948; Q08491
Q03330	Q02336; Q12060; Q00772
P53260	
P53839	
P53688	
Q12134	P15891
P12683	P12684
Q12055	
P40327	P38764; P43588; P33299
P24384	
Q12318	P40465
Q12335	Itself; P38234; P25349
P17119	P32908; Q12045
Q06147	
P57743	P47017; P38203; P40070
Q92328	P18409; P41800
P32570	Q99278; P32569
P22133	
P25491	Q12285; Q12118; Q7LKB1
P30952	P33203; P39940
P32787	
P27705	P02829
P54785	
P32633	
P40530	P53170
P33420	P38696; P36224
P38082	
P08525	
Q9ZZX9	
P36166	
P53294	
P36013	
P32489	P25453; P89114
P32783	
P47074	P26449; P26309; P40958
P38286	
Q06211	Q06340; Q08273; Q06164; P50874; P47050
P32334	Q06810
P33895	P43618; P40460; Q04477; P40014
P38837	
P36110	
Q04705	
P53131	P36009; P36049; P43586; P47035; Q08208; P53927; P37838; P40078; P53335; P10964; Q06411; P53866
P40048	
P40970	P25045
Q02891	
P42834	
P38300	
P40495	
P15807	
Q08550	Q07732; P32336; Q12411
Q07349	
P21339	P40073
P43563	P53894
P0CX81	
Q02197	Q03503
P40959	Itself
P25580	
P38969	
Q12008	
P11491	
P38797	P24280
P32598	P53858; P27637; P39732; P41818; Q12276; P43638; P42073; Q00816; P34758; P36047; Q00416; P50278; P36104; P43587
P07250	
Q07959	
P06245	P07278
P53905	P38203; P25644
P34162	P32585
P29467	P33323; P21651; P32841
P18409	Q92328; P14693; P53969
P32419	
P33310	
P49367	P39940
P38760	
Q03104	
Q06106	P53254
P20967	P19262
P53935	P53829
P46988	
P38921	
P33298	P50086; P32628; P43588; P32496; Q04062; P33299; Itself; P53549; P33297; Q01939
P43606	
P28737	Q12421
P24583	P06786
P47145	
P32875	
P32354	P30665; P53091; P15873
Q01846	
Q9ZZW7	
P34072	P35169
P37293	
P33767	P53622; Q99380; P52870; P32915; P35179; P39007; Q02795
P22434	
Q06608	
P13259	
P32480	P32479
P09950	
Q04432	
Q05787	P25694; P38307; Q08109; P00729; P32915; Q99220
Q02888	P00830; P40576
P26364	
Q04213	
Q07821	
Q08979	
Q06346	P36107
Q12342	P38822
P41318	Q08236; Q04749; P38873; P35169; P32600; P40061
P53281	Q12168; P40563; P38266; P53933; Q04322; P39940
P38295	
P29496	P25651; P24279; Q12306
P0CX09	
P33311	
P40957	P41695; P26449; P40958
Q96VH5	
P36112	P43594
P32047	
Q06833	P47068; P39743
P25366	P38738
Q12166	P06208
Q12446	P60010; P38328; P38822; Q05080; P43603; P25369; P36006; Q04439; P80667; Q06449; P39743; P40073; P32790; P37370; P32793
Q02796	
P39678	P09959
P40971	
P53379	
P24720	
P41821	
P53045	P10614; Q12452; P40030; P32353
P53320	
P36084	Q12186
P40460	P53267; P54199; Itself; P33895; P53148; Q04477; P40014
Q06504	
P38626	
Q12181	P36152
Q08214	P38920
P53145	P38344; Q12522; Q02256
P39946	P38853; P47149; Itself
P40070	P39517; P47017; P38203; P57743; Q06406; P47093; P25644; Q06217; P22147
Q08179	
P38162	
P21826	
P32333	P13393
P53214	
Q06489	
Q08962	Q08287; P25359
P36059	
P40559	P36115; P47030
P34239	
Q3E827	
P24719	
P38112	Q12389; Q03532; P43586; Q08208; P37838; P40693; P38805
P32491	Q00772
P40573	P32389
P38994	
P38742	P39923
P40007	
P38769	
P04147	P53849; P36102; P39935; P39936
Q05568	Q04370; P80667; P32800
P0CE85	
Q12265	P25377; P32895; P38063
P53206	
Q12106	
Q12343	Q08278; P47822
P47164	
Q12372	
P43638	P32598
P36157	
Q12117	
P39552	P53176
P53944	P30775
P0CY08	P11746
P0CX80	
Q06389	P53112; P39104
P40447	
P06102	P53829; P06100; P25655
P36010	
P32336	Q08550; Q12411
P53915	
Q06668	
P52593	
P16547	
P38738	P25366
Q12375	
Q12461	P23594
Q08970	
Q06164	Q01454; Q06211; P47050; P38850
P38920	P39875; Q07980; Q12083; Q08214; P14242
P54199	P29366; P40460; P32790
P25846	
P53604	P30619
P23500	
P40096	Q92317
P25382	Q12019; P40078
P06100	P25655; P34909; P06102; Q12514
P25374	Q6Q560; Q03020
Q01560	P40507; P25555; P38074; Itself; P04456; P39940
Q99207	Q06287; P38333; P47083; Q06512; Q12136; P53254
Q12311	
P06738	P33203; P39940
Q03289	
Q05905	
P38274	P32944
Q99181	Q02554; P47093
P32481	Q05791; P20459; P09064; P38431; Q9P7N5
P09064	P32481
P33417	
P00724	
Q08522	
Q03036	
Q12271	
P22517	
P50090	P38853
P39518	
P07866	P38853; P01120
P32585	P38304; P34162
Q12176	Q12389; Q03532; P43586; Itself; P39744; Q02892; P53742; P37838; P40693; P36160; Q12754; Q06511; Q05022
Q08176	
Q12083	P38920
Q12525	
Q04341	
P47123	P32836
Q12411	Q07732; Q08550; P32336
P32770	
P38340	
Q05637	
P32259	P53114
P36060	P39940
O60200	Q05776; P35200; Q04006
P53885	
P53114	Q12321; P32259
P53159	Q12365; P47069; P52919; Q04477
P0CE00	
Q05648	
Q07938	
P47095	
P40029	
Q12093	
P08964	P53141; Q06580
Q04121	
P25353	
P32499	Q06142; P39705; Q02821
P21375	
P38151	
P25297	
P38852	
P40079	
P36032	
P17505	P10592
P40065	P25651; P29295
Q06390	
P32335	P40452; Q3E7B2; P39103
P35198	P02829
P48240	P53859; Q12277; P46948
P27929	
P12945	P07347
Q12493	Q06162
P53253	P32908; P32618
Q08972	
P38830	
P39952	
Q08202	
P36161	P35729
P43575	
P39545	
Q12367	
P36105	
P05744	
P40693	P38779; P32892; Q03532; Q12176; P38112; P39744; Q02892
Q12487	
P53724	
P10622	P05317; P05319
Q02933	
P20435	
Q02773	
Q12377	Q12250; Q08723; Q04062
Q3E792	
P23561	P16892; P14681; P32490; P40073; Itself; P32917; P25344
P32917	P11710; P16892; P23561; P18851; P06784; Q6FPF2; Q5A1D3; Q6CNR3; C8V7D1
Q12109	
Q03897	Q04491
P25601	
Q12217	
P38267	
P0CX57	
P34238	
P36158	
P38184	
A0A023PZE4	
P53925	
Q07811	
P47003	
P47091	
P38833	
Q3E746	
P40049	
P36098	
Q04897	
P0CX69	
P0C5Q8	
P47162	
Q3E842	
P53093	P07560; P53845; Itself; P53108; P01123; P38146; P48559; P38555; P51996; P38815; P36018; Q99260; P32939
P53921	
Q12470	
A0A023PXF5	
Q3E760	
Q8TGR2	
P47101	
Q02598	
Q8TGU0	
Q3E769	
Q99296	
Q12485	
Q12138	
Q06146	
Q12113	
P53316	P40561
Q05530	
Q12257	
P53342	
P0C5R1	
Q8TGM1	
A5Z2X5	
P0CX94	
Q03483	
Q12152	
Q06537	
Q02826	
Q12414	
P0CY04	
P40021	Q04439
Q03290	
Q01852	P42949; P0CS90; P39515; P32897
P27796	P50091; P39108
P00927	
P13099	Q02685; P35187
P38334	P36149; Q03660; Q03337; P46944
P53950	Q06708
P32366	P37296; P17255; P41807; P31412; P39111; P32610; P32563
P38959	P20795
P47075	Q06449
P38932	P32609; Q03322; Q08144
Q12071	P38116; P36116; P39904; P47061
P34761	
Q04272	P39929; P47142; P52917
Q06385	
P25614	
Q3E741	
P32386	
P39563	
Q96VH1	
P38749	
P0C2I4	
A0A023PZH5	
P36140	P39940
P36151	
Q04018	
A0A023PXL7	
Q8TGT3	
P53977	
Q04978	
P40898	
P47098	
P47173	
Q8TGN2	
P40445	
P40449	
P42840	
Q3E786	
Q08909	
P53245	
P53293	
Q12141	
Q3E795	
Q12082	
Q05497	
P87273	
Q99345	
Q12249	
P0C5M1	
P0C5E0	
O13517	
Q08428	
Q08964	
Q02873	
Q99326	
P43562	
Q04069	
Q06681	
P0CL31	
Q06216	
P53184	
Q12017	
Q03770	
P53599	Q00772; Q07084
Q06524	
Q12254	
P36057	P32916; Itself
P25302	Itself; P09959
P48231	
Q04120	
Q06682	P25694
P06785	
P32610	P47104; P32366; P39111
P25650	
Q8TGR8	
P38109	
Q3E821	
Q3E7A7	
Q07927	
P0C5P2	
Q8TGM8	
P40052	
Q8TGK1	
P0C5Q2	
Q8TGJ2	
P40058	
P38087	
P40575	
P0CF18	
A0A023PZD0	
P53210	
Q8TGL3	
P53227	
P53278	
P38776	
Q03787	
A0A023PZF5	
P0C5L7	
P87266	
P87267	
Q04203	
P40583	
P38228	
P53215	Itself
P16120	
P41338	
P09880	
P53147	
P54860	P25694; P32628; P34223; P33202
Q08960	
Q06708	P43601; P34756; P42837; Itself; P53950
P53142	
P42945	P47083; Q02931; Q06512; Q05022; Q06679; P40055; P53276
P47142	Q12483; Q04272; Q06696
O13588	
Q8TGQ2	
P39549	
P39728	
P38746	
P0C5N8	
Q8TGS8	
P0CL33	
Q99208	
Q04019	
P40095	P38041; P39969
P36089	
P39529	
Q12174	
P47172	
Q12088	
P47062	
Q06188	
P53752	
P38727	
Q08634	
P43625	
P0CX59	
P0CX70	
P43580	
O13566	
Q12402	Q99287; P03588
P0CD97	
P50091	P39108; P27796
Q02969	
P41903	
P40474	
P54000	P25299
Q06563	
Q05998	
P53507	
P50101	
Q12229	P25694; Q08232
P33296	P39940
Q03785	Q00684
Q08924	
O13513	
P40057	
Q6B0Z2	
Q03099	
Q12259	
P0CX89	
P53144	
Q05451	
Q04336	
P40891	
P53821	
P53828	
P47099	
P53723	
P47043	
P22438	
Q3E7C1	Q02939
Q07748	P39940
P18412	P13574
Q04183	
Q99394	P36149; P15303
Q03327	P38297; P32266
P40061	P41318; P32600
Q12489	
Q12281	
Q07790	
Q8TGQ4	
P38303	
Q3E830	
Q8TGK7	
P47094	
P0CD98	
P53113	
Q12155	
Q03508	
P47009	
P53122	
P39541	
P38867	
A0A023PXH6	
P47147	
P0C5N5	
A0A023PYJ0	
P36065	
P38864	
Q12130	
Q03722	
Q3E802	
P53175	
P0CX96	
A0A023PXI8	
Q00590	
P53212	
P0CX64	
Q03494	
P53321	
Q04923	
Q3E6R4	
Q02896	
Q07649	
Q08786	
Q08540	
Q12012	
A0A023PXJ7	
Q12523	
P36036	
Q06107	
A0A023PZE8	
O13568	
O13570	
P12688	P53739
P46951	P37297
Q12010	
Q6B0V7	
P54786	P38041; P32790
Q03750	Q12030
P53904	
Q04305	Q04177; P53276; P38882
Q08224	
P06786	P24583; Itself
P41814	P46959
Q03796	
Q04006	O60200
Q02724	
P39111	P41807; P32366; P32610; P32563
P40547	P53076
O13584	
P36116	Q03322; P39904; Q12071
P38354	
P38318	
P38350	
Q12269	
O13560	
Q08411	
Q3E810	
P0C2J6	
Q06689	
Q8TGR5	
Q8TGP4	
Q07589	
Q05881	
Q08741	
Q12293	
P0C5R6	
Q08980	
P39992	
Q12492	
P39991	
Q06523	
P32329	
Q8TGK8	
P0C2J1	
P38070	
P40045	
P42938	
P29509	P53879; P38816
P48412	P38798
P28274	
P28263	
P22147	P40070
Q03433	Q12509; P35817; Q12692
P22219	P08539; P22543
P38739	
P38838	
P25620	
Q12298	
Q12103	
Q99231	
P38240	
P38243	
Q3E776	
Q6Q572	
P32859	
A0A023PYG1	
P40896	
A0A023PYH0	
P53116	
P0C5Q4	
P28320	
P53922	
Q3E758	
Q6B0Y1	
P38808	
A0A023PXK7	
P40560	Q08273
Q8TGU2	
P28625	
Q08844	
A0A023PYI2	
P0C5N2	
Q03629	
Q8TGT7	
Q3E744	
P0C2J3	
P38765	
Q08321	
Q92392	
P53856	
P0CF20	
A0A023PXD5	
Q12135	
Q8TGR7	
P34161	
P0C5R9	
P47058	Q9URQ3
P40468	P53894
P04801	
P32776	Q13351; P04637
P54857	
P15565	
Q05024	
P32643	
P35172	
P12685	
Q12000	
P00937	P00899
P19812	P21965; P26188; P06104; P32565; P33299; Q01939; P23291
Q12241	Q12255; P32912; P20795; Q04338
P0C5L1	
P0C5K9	
P38317	
P38327	
Q3E756	
P38186	
P53120	
P53069	
P0CL36	
Q6B0X2	
Q03649	
P47137	P33203; P39940
Q04814	
P47107	
P47024	
Q04909	
P0CF21	
Q8TGJ8	
P40355	
P53960	
P0C2I7	
P53307	
P40556	
P50083	
Q08240	
Q12173	
Q8TGT1	
A0A023PXC2	
Q08560	
P0C289	
Q12148	
Q12392	
Q04597	
Q12159	P39081; Q07478
Q06640	P52286
Q12070	
Q8TGR3	
Q06594	
P53107	
P0CX97	
Q08900	
P38815	P53845; P53039; P53093
Q12512	
