Entry	Interacts with
Q12297	
Q07914	P42949; P39515
P40040	
Q03774	Q12009
P40961	P50085
Q12445	
Q12236	
Q03338	P20053
P39927	Q01329
P36002	
P20051	
Q02256	P53145
Q9ZZX8	
Q12069	
P39994	
Q05131	
P53331	
P14736	P32628; P18888
P05756	
P33442	
P05750	P34078; P40160; P46683
P46674	P06704; Q6WNK7
O14464	
Q00916	P38261; P33334
P53289	
P33332	P06780
P38164	P15108; P53011
Q08446	P35203; P02829; P52286
P03877	
Q02651	
Q08199	
Q04921	
P34164	P06782; P12904
P13574	Q03063; Q03373; P14681; P0CY06; Q00772; P18412
P06783	D6VTK4
Q02457	Q05934
P25644	P53550; P39517; P47017; P38203; P40070; P53905
P25625	
P07256	P07257
P36144	
P36517	P21560
P0CX27	
Q04307	
P16370	P38902; P08518
Q05022	Q08235; P53914; Q12176; P39744; Q12499; P42945; P35194; Q06078
Q08285	P53859; Q08162; P46948
P40204	Q12330
Q02950	
P50110	P14693; P53969
Q04003	P32447; Q12495; P40963; Q99314
P39742	P14906; P33754
P08458	
Q3E752	
P40472	
Q12078	
P40317	
P06843	
P23615	Q06505; P27692
P53250	P17555; P68135
P38114	
P38851	
P26188	P39009; P19812; P33202
P47085	
Q12467	
P33749	
P38335	
P34246	
Q02642	P38879
Q02795	P41543; Q99380; P32915; P35179; P33767
Q12451	P36006; Q04439
Q04673	
Q04175	
P32911	
Q02794	P32790
P46678	
P48837	Q06142; P34077; P14907; Q02629; Q02630; P49686; Q02199; Itself
P43611	
Q08952	
P41909	P11076; P34230
P25301	Q06032; P38953
Q03956	
P35997	
P14127	
P13856	
P32902	
Q04947	Q99287; P03588
Q08963	
P47166	
P33754	P32915; P14906; P39742
P32432	P32864
P23201	P40091
P06782	Q00684; Q04739; P22211; Q00816; P38232; P34164; Itself; P12904
P08459	
P17123	
P43545	
P32900	
Q12306	P32797; P25694; Q12050; P29469; P24279; P30665; P29496; P53091; P38132; P43124; P07271; P15873; P06778; P14291; P35187; P32908; Q08204; Itself; P12954; P52488; P50623; P53044; P32807; Q04437
P34252	P47027
P31377	
Q06688	
P38326	
P32263	Itself
P42836	
P53835	
P28708	
P0CX46	
P0C2H8	
P38805	P10962; P38112; P39744
P36121	
Q12250	Q03981; P43588; P40016; Q12377; Q08723; Q04062
P32786	Q04712; P40992
P46948	P53859; Q08162; P48240; P38792; Q08285; Q12277; P25359; Q05636; P53256; Q12149
Q08219	
P38961	
P38192	
P39938	
P06367	
P0CX38	
P0CX35	
Q12464	P38768; Q03940; P13393; P53201
P39743	P15891; Q12168; P47129; P60010; P38266; P53933; Q06604; P38140; P40956; Q04322; Q12344; Q12446; Q04439; Q06833; P25343; Itself; P32855; P37370; Q03780
P47141	
P17121	
P40188	
P26784	
P17076	
P38330	
Q03465	Q03162; Q07963
Q06103	P40016; O94742
P40470	
P25380	
P47057	Q06410; Q07528; Q04053
P38778	
P39543	
P35208	
Q12455	
Q04969	
P38957	
P15705	P15108; P02829
P46679	
P37296	P32366
Q03085	
P25623	P34216; P36027; Itself
P38967	
Q06510	
P38811	Q02336; Q08649; Q12060; P32494; P35177
Q08422	
P38227	
P38066	
P0CX41	
P36516	
P23369	
P0CX25	
P0CX28	
P51998	
P20434	P08518; P20436; P29055
P38766	
Q3E811	
P38711	
Q12469	
P38889	
Q06091	Q12309; P38302; P32523
Q12505	
P39990	P15646; Q12460
Q12749	Q07913
P53207	
Q08457	P53135
Q07351	
P38688	P29478; P38985
Q99176	P42939; P25604; Q02767
P46655	P46672
P11747	Q12030; Q04226
Q12328	P53220
Q08144	P32602; Q03322; P38932; Q04338
P08067	
P52488	Q06624; Q12306
P25610	
P53191	
P39104	Q06389; P38817
P25362	
Q04636	P61830; P22336; P32558
P40012	
Q06494	
Q03407	P02829; P53252
Q02772	
P47116	
P22579	Q12432; P21957; P32561; Itself
P33419	Q12365; P28743; P40457; Itself; P36094
P40825	
P38788	P32527
P40528	
P09436	
P15019	
Q12049	P47130
Q08686	
P07285	
P32634	
P40475	
P21771	
Q07534	
P40063	
Q05543	
P35187	P22216; P22336; Q02685; Q12306; P13099
P40363	
P14906	P21825; P33754; P39742
P52870	P46964; Q99380; P33767
P45978	
P53324	
P03878	
Q07798	
Q04195	
P50875	Q12060; P53165; P06844
Q12232	P40085
P53955	P43603; P40485
Q12267	Q06680
P33300	
P38699	
P11325	
P39931	
P39079	
P35202	
P40032	
Q08322	
P35842	
Q07951	Q12245
P19735	Q06819
Q08217	P32861
P07257	P07256
P43609	Q9URQ5; P32832; P25632
Q07458	
Q12158	P40541; P32908; P47037
P10870	
Q03029	
P40150	
P11484	P43573; P40433; P32589; P38825
P37297	P46951
Q12020	P39014
P13188	
P39077	
Q05027	P50105; P53040; Itself
P34163	
P38426	Q00764; P31688; Itself
P38288	
P06104	Q07457; P10862; P19812; Q07963
Q03790	P34077; P38181; Itself
Q02803	
P18898	P29703
Q03262	
P38193	P32345; P40164
Q08931	
Q05911	P06103
Q04779	
P39531	P52286
Q12090	
P21524	Itself; P09938; P49723; Q04964
P0CX50	
P0C0V8	
P32603	
P39929	P48582; P36108; Q03281; Itself; Q04272; Q06263
P38915	P07273; Q12060; P32494; P13393; P35177
P27692	Q06697; P89105; P40164; P04050; P53064; P32914; P23615
P25294	P25367; P10591; P10592; P32589; Q7LKB1
P53251	P38333
P11972	P08539; P0CI39
P36150	
P25379	P38622
P38758	
P47030	P40559
P25635	Q12220; P40362; Q06078
Q05468	
P0CX51	
Q08932	P46973
P32832	P02829; P43609
P53292	
P40054	P40510
P06105	
P40075	Q00402; P21957; P38713; Q07657; P39523
P43544	
Q08204	P38632; P40562; Q07913; Q05541; P43124; Q03718; Q12306
Q02260	
P40548	
Q08491	P53859; P17883; Q02793; Q92900
P17883	P35207; Q08491; Q02793
Q08581	
P53965	P50946; P53949
P53266	P40452
P38871	Q07732
Q12516	
Q12286	
P32591	P53330; P22082; P18888
Q05021	P35817
