Entry	Interacts with	Cross-reference (STRING)
P35056	P80667; P53112	4932.YDR244W;
P32452		4932.YNL316C;
Q12144		4932.YLR064W;
P46971	Itself	4932.YJR143C;
P38230		4932.YBR046C;
P22289		4932.YGR183C;
P07280		4932.YOL121C;
P53189		4932.YGL028C;
P34758	P32598	4932.YOR329C;
P52871		4932.YER019C-A;
P38241		4932.YBR065C;
P32573		4932.YNL202W;
Q12368		4932.YDL098C;
P40210		4932.YMR140W;
Q12104		4932.YOR166C;
Q07478	Q12159	4932.YDL084W;
Q03175		4932.YMR101C;
Q08919	P39940	4932.YPL176C;
P53146	P28791; Q12745; P41834	4932.YGL098W;
Q08474		4932.YOR068C;
P32912	Q12255; Q12270; Q12241; P20795; P53845	4932.YGL212W;
P25630		
Q8TGU7		4932.YBR126W-A;
P38296		
P38150		4932.YBR284W;
Q3E787		
Q96VG5		4932.YCR102W-A;
P47022		4932.YJL118W;
Q04471		4932.YMR114C;
P47021		4932.YJL119C;
A0A023PXE8		
P36031		4932.YKL223W;
P0CX93		
Q3E775		
P36111		4932.YKR015C;
A0A023PXF2		
A0A023PXH2		
A0A023PZG9		
P38799		4932.YHR078W;
Q3E814		
P33324		4932.YKL091C;
Q3E7A6		4932.YML007C-A;
Q03823		
Q04835		4932.YMR253C;
P38752		4932.YHL005C;
P40093		4932.YER156C;
P32616		4932.YEL045C;
Q03648		4932.YMR209C;
Q3E817		
P54007		4932.YLR460C;
Q8TGJ0		4932.YOR394C-A;
P53287		4932.YGR151C;
P0C5M9		
P53240		4932.YGR064W;
P39972		4932.YEL075C;
O13531		
P53269		
P0CX75		
O13565		4932.YLR358C;
O13576		
P53862		4932.YNL228W;
P40001		4932.YEL008W;
P0CX71		
P87285		4932.YDR355C;
Q3E7A2		4932.YER078W-A;
Q8TGL1		
Q07746		4932.YDL242W;
Q03080		
Q04922		4932.YDR219C;
P32435		4932.YGL089C;
P53157	P38857; P53311	4932.YGL080W;
P48564		
P53128	P46151	4932.YGL125W;
P17967	P38888; P61823	4932.YCL043C;
Q12366	P47069	4932.YOL104C;
P38848		4932.YHR150W;
P12868	P27801; P20795	4932.YMR231W;
P16467		4932.YLR134W;
P38244		4932.YBR074W;
P39684		4932.YFR023W;
P25502		4932.YKL015W;
P47148		4932.YJR111C;
P32864	P32432; P36017; P38146; P36018	4932.YOR370C;
P38206		4932.YBL020W;
P53879	P29509	4932.YNL180C;
P38127		4932.YBR192W;
P29453		4932.YLL045C;
P35718	P04051	4932.YKL144C;
P12383	P19659	4932.YGL013C;
P49704		4932.YGR091W;
P80210	P33203; P39940	4932.YNL220W;
Q04048	Q03654; Q12309; P21374; P38302; P32523; P28004; P53277	4932.YDR416W;
Q04083		4932.YDR438W;
P40071		4932.YER113C;
P16649	P14922; P40356; P48743; P32561	4932.YCR084C;
Q08282		4932.YOL141W;
P53177		4932.YGL050W;
P40554	P53088; P38820	4932.YIL008W;
Q04500		4932.YML093W;
P16140	P47104	4932.YBR127C;
P37265		4932.YCR041W;
Q12235		4932.YLL055W;
O74302		4932.YDR261C-C;
Q07793		
Q12490		4932.YBL005W-B;
O13511		4932.YAL065C;
P40062	P33302	
P39523	P40091; P40075; Q07657	4932.YMR124W;
Q04304		4932.YMR090W;
Q04670		
P53981		4932.YNL010W;
P0C5Q7		
Q8TGL7		
P38722		4932.YHL049C;
P0CE99		
P0C2I5		
Q08216		
P53302		4932.YGR190C;
Q08439		4932.YOR055W;
Q12407	P02829	4932.YDL199C;
Q12307		4932.YDL162C;
Q3E7Z9		
A0A023PXH9		4932.YDR149C;
Q05948		
P0C1Z1		4932.YDR524W-C;
P0C0V2		4932.YER188C-A;
Q3E789		4932.YDR169C-A;
O13585		4932.YPR089W;
O13519		4932.YPL136W;
O13567		
O13564		
Q12204		4932.YOR022C;
Q12079		4932.YPR027C;
A0A023PXI5		4932.YPR197C;
P53057		4932.YGL259W;
P53303		4932.YGR211W;
P53937		4932.YNL081C;
Q12466		4932.YOR086C;
Q03761	P35817; Q12060; Q12030; Itself; P50105	4932.YDR145W;
Q03533		4932.YMR291W;
P47079		4932.YJL008C;
P32774	P13393; P32773	4932.YKL058W;
P07213	Q07812	4932.YNL121C;
Q3E764		4932.YLR262C-A;
P36164		4932.YKR088C;
P52490	P53152	4932.YDR092W;
P23642	P39107	4932.YML115C;
Q02725		4932.YPL019C;
Q12266		4932.YBL005W-A;
Q8TGQ6		
P40584		4932.YIR040C;
Q06204		4932.YLR446W;
P53211		
P53270		
P50089		4932.YGR237C;
P0CF19		4932.YOL162W;
Q12047		
Q8TGM3		
O13532		
Q04585		4932.YDR109C;
Q12301		4932.YDL180W;
O13522		4932.YDR396W;
Q02872		4932.YPL108W;
P40104		4932.YER189W;
Q06839		4932.YPR097W;
P42844	P0CS91	4932.YNL310C;
Q12458		4932.YDR368W;
O13569		4932.YPR136C;
Q6B0W0		4932.YPR039W;
A0A023PXB9		4932.YDR199W;
P53170	P40530	4932.YGL059W;
P13130		4932.YHR139C;
P04803		4932.YDR268W;
Q08231	P06704; O94742	4932.YOL072W;
Q12256		4932.YOR273C;
Q8TGP7		
P25577		4932.YCL049C;
Q8TGK5		4932.YBL113W-A;
P38322		
Q96VH2		4932.YCL001W-B;
P47118	P53846	4932.YJR067C;
Q3E838		4932.YFR012W-A;
A0A023PXL1		
P0CX17		
P40542		4932.YIL025C;
Q08903		4932.YOR379C;
P53162		4932.YGL069C;
Q8TGM6		4932.YLR154W-C;
P38705		4932.YHR011W;
Q06836		4932.YPR095C;
P53220	Q12328; P32897; Q02776; P49334	4932.YGR033C;
Q03322	P32602; Q08144; P38932; P36116; Q04338	4932.YDR468C;
Q03280		4932.YDR457W;
P38152		4932.YBR291C;
Q03714	P38307; Itself	4932.YML029W;
Q07468	P20795	4932.YDL077C;
P39904	P36116; P47061; Q12071	4932.YDR484W;
P54787		4932.YML097C;
Q12206	Q12363	4932.YOR229W;
P25350		4932.YCR006C;
P25657		4932.YCR099C;
Q07438		4932.YDL071C;
P38168		
Q3E820		4932.YBR196C-A;
P25384		4932.YCL019W;
Q8TGQ1		4932.YCR047W-A;
P32618	P53253	4932.YEL043W;
P53964		4932.YNL033W;
P53209		4932.YGR016W;
P0CY02		
Q12322		4932.YOL114C;
P53232		
Q08734		4932.YOR268C;
Q06158		
Q12288		4932.YLR126C;
Q08736		4932.YOR277C;
A0A023PYE9		4932.YER087C-A;
Q03186		
P40102		4932.YER187W;
P36077		4932.YKL086W;
P13393	P29056; P38304; P32333; Q01939; Q04712; Q03940; Q12464; P38915; P32774	4932.YER148W;
Q12218		4932.YOR009W;
P48560		4932.YNL300W;
P32802		4932.YLR083C;
P40414		4932.YIL138C;
P40478		4932.YIL114C;
P32563	P41807; P32366; P39111	4932.YOR270C;
Q12193		
P32788		4932.YBL010C;
A0A023PXH5		4932.YBR126W-B;
P40017		4932.YER024W;
P47004		
P0CL29		
O13534		4932.YHR214W-A;
Q03207		4932.YML122C;
P53103		4932.YGL182C;
P40211		
P46992		4932.YJL171C;
P0C5P0		
P38831		
Q8TGN6		
Q04276		
Q03102		4932.YML131W;
P40536		
P53929		4932.YNL108C;
Q04214		
P40543		4932.YIL024C;
Q08816		4932.YOR352W;
P40163		4932.YNL203C;
O13574		4932.YLR255C;
P0C2I8		4932.YLR256W-A;
P53864		
P40168		4932.YNL195C;
A0A023PZF2		4932.YEL009C-A;
Q07950		4932.YLR020C;
Q03983		4932.YDR179W-A;
Q08293		
Q08604		
Q08993		4932.YPR202W;
P0CX15		
Q99395		4932.YPL229W;
P0CL37		
Q3E813		4932.YLR154C-G;
P38690		4932.YHR033W;
Q07471	P32896	4932.YDL080C;
Q06163	P17214; Q03096	4932.YLR318W;
P33753		4932.YKR056W;
P53257		4932.YGR096W;
P23644	P53969; P35180; P49334; Q07812	4932.YMR203W;
P17536		4932.YNL079C;
Q12513		4932.YDL110C;
P38358		4932.YBR293W;
Q03308	P20795	4932.YPL045W;
P25351		4932.YCR023C;
Q12260		4932.YBL100W-A;
P38357		4932.YBR292C;
P0CX92		
P38763		4932.YHR022C;
P53749		4932.YNR063W;
Q05867		4932.YLR283W;
Q05898		4932.YLR296W;
Q12424		4932.YDL206W;
Q3E732		4932.YLR264C-A;
P0C5P6		4932.YLR163W-A;
Q08270		4932.YOL131W;
Q8TGK9		
P87261		
P0C272		
P0CX60		
A0A023PXK2		
Q03049		4932.YDR541C;
P0CX73		
Q02659		4932.YPL025C;
O13520		
Q08419		4932.YOR050C;
P53735	Q03455	4932.YNR039C;
P10863		4932.YER011W;
P23254	P39940; P33315	4932.YPR074C;
Q04600		4932.YDR117C;
Q06685		4932.YLR410W;
P40080		4932.YER128W;
P53241		4932.YGR065C;
Q12448		4932.YDL034W;
P38362		4932.YBR300C;
P25563		4932.YCL023C;
Q12491		
P38311		4932.YBR209W;
P0C5P5		4932.YKL165C-A;
P36114		4932.YKR018C;
P53134		4932.YGL114W;
P53089		
P53097		4932.YGL193C;
P0C261		4932.YML057C-A;
Q12253		4932.YLR046C;
P47184		
Q6B0Y7		4932.YMR075C-A;
Q07888		
Q03879		
P47174		4932.YJR146W;
P53729		4932.YNR029C;
P0CY01		
P0CX72		
P53275		4932.YGR127W;
P38708		4932.YHR020W;
P53288		4932.YGR160W;
P0CX65		4932.YMR051C;
P43590		4932.YFR006W;
P53222		4932.YGR035C;
Q3E747		4932.YLR363W-A;
P42936		4932.YGR201C;
Q08681		4932.YOR248W;
A0A023PYD9		
P87274		
Q6Q5X2		4932.YDR034W-B;
Q12187		4932.YDL196W;
Q3E6R5		4932.YDR381C-A;
Q12160		4932.YPR063C;
Q07688	P39928; Q07084	4932.YDL235C;
Q6Q5H1		4932.YPR158C-C;
Q8TGL0		4932.YPL222C-A;
P36019	P53845	4932.YNL093W;
P53049	Q04322	4932.YGR281W;
Q08954		4932.YPL199C;
P01123	P39958; P22214; Q01590; P53845; P53633; P53093	4932.YFL038C;
P50111	P20449; Q04839	4932.YMR273C;
P35729	Itself; P36161; P49687; P52891; P46673	4932.YKL057C;
P53756	P40219; P20107	4932.YNR070W;
P31376		4932.YAL011W;
P39706	P38123	4932.YAR003W;
P40342	Q12052	4932.YNR004W;
Q06817		4932.YPR081C;
P39076		4932.YIL142W;
P35189	P34218; P18480; P18888; Q08465	4932.YPL129W;
P41544		4932.YJL004C;
Q03496		4932.YMR259C;
P47049	P25694	4932.YJL048C;
Q7M4S9		4932.YBL113C;
P14680	Q08273	4932.YJL141C;
A0A023PZF3		
P0CL34		4932.YNL339W-B;
Q12391		
P0CX61		4932.YGR161W-A;
A0A023PZE9		
P53820		4932.YNL338W;
P47126		4932.YJR079W;
A0A023PXM7		
P40587		
P40551		
P53340		
P40152		4932.YNL217W;
P0CF00		
P53300		4932.YGR182C;
P39953		4932.YEL006W;
P87270		
Q04093		4932.YDR444W;
O94085		4932.YLR339C;
P0C5L8		
Q3E7Y8		
Q12439		
A0A023PYD7		4932.YDR187C;
Q3E750		
P35691		4932.YKL056C;
P33339		4932.YGR047C;
P40552		4932.YIL011W;
P31688	Q00764; P38426; P38427	4932.YDR074W;
Q12463	P53738	4932.YOL124C;
P53283	Q06451	4932.YGR138C;
P53840	Q08032; Q04659; P25588	4932.YNL273W;
P20049		4932.YBR166C;
P53044	P25694; P38307; P33755; P06778; Q12306; Q04228	4932.YGR048W;
P34223	P25694; Q12743; P54860	4932.YBL058W;
P42839		4932.YNL321W;
Q12063		4932.YDL193W;
P39967		4932.YER098W;
P38882	Q04305; Q06679; P53276	4932.YHR196W;
P40343	P38753; P40509; P25604; P0CG53	4932.YNR006W;
Q12210		4932.YDL009C;
P25654		4932.YCR090C;
A0A023PZE6		4932.YDR048C;
A0A023PYC6		
P38209		4932.YBL012C;
P38338		4932.YBR259W;
P39550		4932.YAR030C;
P38194		4932.YBL044W;
P38180		4932.YBL081W;
P38083		4932.YBR063C;
P53098		4932.YGL188C;
P53132		4932.YGL118C;
P38900		4932.YHR219W;
P36092		4932.YKL044W;
Q02203		4932.YKR005C;
P0C5P1		
O13535		4932.YHR214C-B;
Q8TGL8		
Q8TGU3		
P40497		4932.YIL092W;
Q3E7Z2		
Q04867		4932.YMR310C;
Q03177		4932.YMR102C;
P53736		
P0C271		
P53908		4932.YNL143C;
Q3E740		4932.YGL258W-A;
Q06267		4932.YLR184W;
P38775		4932.YHR045W;
P43540		4932.YFL064C;
P33199		
P40101		4932.YER186C;
A0A023PXG7		4932.YLR230W;
O13523		
Q06698		4932.YLR419W;
Q06821		
Q04162		4932.YDR387C;
A0A023PYE4		
Q3E7A5		
P39999		
P40517		4932.YIL063C;
Q08930		4932.YPL191C;
A0A023PZM3		4932.YPR050C;
P0CE96		
P53617	P38996; P04050; Q12149	4932.YNL251C;
Q06593		4932.YPR194C;
P08018	Q12163; P40073	4932.YJL128C;
P40038	P17157	4932.YER059W;
P40335		4932.YJL053W;
P00635		4932.YBR093C;
P38197		4932.YBL036C;
Q07800	P12611	4932.YLL010C;
Q9ZZW2		
P42073	P32598	4932.YDR195W;
P32628	P25694; Q02890; P22141; P34222; P14736; P38764; P33299; P33298; Q01939; P18888; P0CG63; P54860; P0CG48	4932.YEL037C;
P32862		4932.YKL038W;
Q00246		4932.YKR055W;
P40339	P49956; P38877; Q12050; P32641	4932.YOL094C;
P0CX23		4932.YOR312C;
P05747		4932.YFR032C-A;
Q02685	P35187; P13099	4932.YPL024W;
Q03305		4932.YDR465C;
P07703	P10964; P08518; P20436; P28000	4932.YPR110C;
P14681	P33306; Q03063; Q03373; P23561; P13574; P06784	4932.YGR040W;
Q07551		4932.YDL124W;
P39081	Q08685; P25298; P25299; P40073; Q12159	4932.YDR228C;
Q12370		4932.YLL025W;
Q06244		4932.YLR165C;
P34230	P00330; P38013; P11076; P25373; P41909	4932.YKL188C;
P12753	P39009; P32829	4932.YNL250W;
P21827		4932.YGL097W;
P38629	P49956; P38877; P32641; P40348	4932.YNL290W;
Q03778		4932.YDR236C;
P0CH08		4932.YKR094C;
Q12213		4932.YPL198W;
P36080	P43586; P37838	4932.YKL082C;
P40016	Q12250; Q06103	4932.YER021W;
P40992	Q04712; P32786	4932.YJL025W;
P0CX52		
P38072		4932.YBR024W;
P33303		4932.YJR095W;
Q01590	P53271; P40094; P38736; P22214; P43682; P22213; Q04338; P01123	4932.YLR026C;
P53313		4932.YGR245C;
P87108	P32830; Q08749; O74700	4932.YHR005C-A;
P32830	P16892; P87108	4932.YBR091C;
P42223		4932.YDR351W;
Q04675		4932.YMR059W;
Q00416	P32598; P38996; P07276; Q02555; P04050	4932.YLR430W;
P32828	P40072	4932.YDL013W;
P40485	Itself; P53955	4932.YIL105C;
P11978	P38181; P11938; P40161; P06700; P06701; Q04437	4932.YDR227W;
P38219		4932.YBR025C;
P40155	P53112	4932.YNL214W;
P32588	P40561	4932.YNL016W;
P40160	P34078; P05750	4932.YNL207W;
P0C2H9		4932.YLR406C;
Q02204		4932.YKR006C;
P22353		4932.YJL063C;
P14063		4932.YKL138C;
P05319	P05317; P10622	4932.YOL039W;
P53118	P43603	4932.YGL144C;
P10964	P53131; P22138; P07703	4932.YOR341W;
P28000	P07703	4932.YNL113W;
P32565	P38764; P19812	4932.YIL075C;
Q04062	P43588; Q12250; Q12377; Q08723; P33298	4932.YDR427W;
Q06506	P53254	4932.YPR137W;
P53165	P50875	4932.YGL066W;
P15367	P46965; Q12133	4932.YIR022W;
P47008		4932.YJL145W;
P48415	P15303; P38968	4932.YPL085W;
P38166		4932.YBL102W;
Q03323	P43132	4932.YDR469W;
P40316	Q03018	4932.YDR113C;
P34228		4932.YBL066C;
P38827	P43132; Q02574; P38337; P0CS90; P36104	4932.YHR119W;
P42948		4932.YJL105W;
P42941		4932.YGR208W;
Q04951		4932.YMR305C;
P32568	P36062; P33302	4932.YDR011W;
Q02793	P35207; P17883; Q08491; P23179	4932.YGL213C;
P00447		4932.YHR008C;
P80667	P53933; P53901; Q12446; Q05568; Q04370; P53112; P32800; P35056; P40494; Q03497; P25604; P40453	4932.YLR191W;
Q9ZZX7		4932.Q0032;
P0C0W9		4932.YPR102C;
P53881		4932.YNL177C;
P43620		4932.YFR048W;
P32561	P53691; P47103; P14922; Q03214; Q03213; P38255; P22579; P16649	4932.YNL330C;
P22138	P10964	4932.YPR010C;
P53117		4932.YGL146C;
Q04225		4932.YMR131C;
Q12108		
Q03516		4932.YMR266W;
P14693	P18409; P50110; P53969	4932.YHR083W;
Q99314	Q04003	4932.YOR213C;
Q12118	P40515; Q12125; Q12285; P22214; Itself; P25491	4932.YOR007C;
P11075		4932.YDR170C;
P43682	Q01590	4932.YKL006C-A;
Q12314		4932.YOR021C;
P24280	P38797	4932.YMR079W;
P35179	P41543; Q99380; P32915; P38353; Q02795; P33767	4932.YDR086C;
Q00772	Q02336; Q06697; P89105; Q03330; P02829; P38692; P38439; P32490; P32491; P38351; P53064; P53599; P13574	4932.YHR030C;
Q12483	P47142; Q06696	4932.YPL002C;
Q03012	P21651	4932.YPL138C;
P10963	P33203; P39940	4932.YKR097W;
P33775	P31382; P47190	4932.YDL095W;
P40476		4932.YIL117C;
Q12338	P53942; Q05635	4932.YLR154C;
Q04740		4932.YMR234W;
P40018	P43321	4932.YER029C;
P26783	P48524	4932.YJR123W;
P26786		4932.YOR096W;
P32608	P35177	4932.YGL252C;
P48526		4932.YPL040C;
P46654		4932.YLR048W;
P28778		4932.YKL003C;
P38120		4932.YBR146W;
P40161	P32447; P61830; Itself; P11978	4932.YNL206C;
P38804		4932.YHR087W;
P53078		4932.YGL224C;
P40505		4932.YIL084C;
P40357	Q12038; P32867	4932.YGR009C;
P22224	P19658; P38261	4932.YGL233W;
P22214	Q12154; Q12125; Q12285; P28791; Q01590; Q12118; P32867; P41834; P01123	4932.YLR268W;
P53011	P46673; P38164	4932.YGL100W;
P28707	P02829	4932.YKL117W;
P53012		4932.YGL126W;
Q12033	P33400	4932.YOR275C;
P29468	Q06632; P45976; Q03735; Q01329	4932.YKR002W;
Q12477	P17157	4932.YDL179W;
P24867	P17157	4932.YNL289W;
P38725		4932.YHL046C;
P31382	P33775; P52867	4932.YAL023C;
P53218	P41812; P38336; P38291	4932.YGR030C;
P32383	Q06132	4932.YPL268W;
P46999		4932.YJL160C;
P23639	P23638; P21243	4932.YML092C;
P42946		4932.YJL108C;
P0C0W1		4932.YJL190C;
P38781	Q06639	4932.YHR056C;
P0CX39		4932.YER102W;
Q01163		4932.YGL129C;
P53305		4932.YGR215W;
P38707		4932.YHR019C;
P89114	P32489	4932.YHR079C-A;
Q12136	Q03532; P20448; P32899; P25586; P47083; Q99207; P53317; Q12481; Itself; P40498; Q02354	4932.YDL153C;
Q3E785		4932.YDR379C-A;
P25554	Q12060; P32494; P68431	4932.YCL010C;
P17065	Itself; P07560	4932.YNL272C;
P21825	P32915; P14906	4932.YPL094C;
P32564		4932.YGR049W;
Q06168		4932.YLR321C;
P53953	P15303	4932.YNL049C;
Q08749	P87108	4932.YOR297C;
P39707		4932.YAR008W;
P16658	Q02825	4932.YLR105C;
Q12041		4932.YDR253C;
P34166		4932.YNL145W;
Q08925		4932.YPL184C;
P32906		4932.YJR131W;
P53745		4932.YNR059W;
P0CX49		4932.YOL120C;
P36527		4932.YDR462W;
P36159		4932.YKR079C;
Q12224		4932.YPL089C;
Q12754	P36049; P43586; Q12176; P37838	4932.YPL012W;
Q05636	P53859; P46948	4932.YDR280W;
Q3E754		4932.YJL136C;
P12686		4932.YGR084C;
Q03067	Q6WNK7	4932.YPL047W;
P29478	P38985; P32342; P38688	4932.YML105C;
P32855	P38261; P43603; P39743; P32844; P32793	4932.YPR055W;
Q05567	Itself	4932.YDR294C;
P39000		4932.YER096W;
Q02825	P16658	4932.YPL083C;
Q12420		4932.YOR308C;
P40031		4932.YER046W;
P53541		4932.YNL012W;
P53136	Q02892	4932.YGL111W;
P53632	P40507; Q12476; P47047; P0CS90	4932.YOL115W;
P38351	Q06697; P89105; P38439; P53064; Q00772	4932.YBR279W;
P25693	P17157; P10591	4932.YDL127W;
Q05518		4932.YDR348C;
Q08966	P17157	4932.YPL219W;
P35994		4932.YKL224C;
P33760	P24004; P53112; Q08215	4932.YNL329C;
P38264	P17064; P38353	4932.YBR106W;
P24031		4932.YBR092C;
P05030		4932.YGL008C;
Q9ZZW3		4932.Q0143;
P05743		4932.YLR344W;
P14126	P17555	4932.YOR063W;
P36523		4932.YLR312W-A;
P38764	P32628; P38886; P32565; P33299; P40327; P33297; Q01939	4932.YHR027C;
P25368	P32790; P53254	4932.YCL031C;
P0CX34		
P05759		4932.YLR167W;
Q03124		4932.YML127W;
O13516		4932.YPL081W;
P40084		4932.YER139C;
P47150		4932.YJR113C;
P38345		4932.YBR269C;
P53172		4932.YGL056C;
P11792		4932.YHR205W;
Q12369	P06704	4932.YLL003W;
P42949	Q07914; P39515; P32897; Q01852	4932.YJL104W;
Q02455	P40457; P32505	4932.YKR095W;
P53102		4932.YGL183C;
Q99316		4932.YOL088C;
P40549		4932.YIL014W;
P38879	Q02642; P15731	4932.YHR193C;
Q03735	P29468	4932.YML117W;
Q03503	Q02197	4932.YPR051W;
P40354		4932.YJR062C;
Q04264	P32908	4932.YMR076C;
Q12511		4932.YOR090C;
P16861	P16862	4932.YGR240C;
P10834		4932.YGR222W;
P25584		4932.YCL056C;
P38953	P25454; P25301; P12954	4932.YDR076W;
P19541		4932.YPL133C;
P38876		4932.YHR189W;
P29461		4932.YOR208W;
P30620		4932.YMR137C;
P50896		4932.YDR505C;
P36528		4932.YNL252C;
P25359	P53859; Q08962; P38768; P46948	4932.YCR035C;
Q12277	P53859; P48240; P46948	4932.YDL111C;
P02407		4932.YML024W;
Q08417		4932.YOR049C;
P32368	P38713	4932.YKL212W;
P53064	Q06697; P89105; P38439; P38351; P04050; Q00772; P27692	4932.YGL244W;
P10663		4932.YPR166C;
Q12330	P40204; P54999	4932.YOR159C;
P20606	P15303	4932.YPL218W;
Q05900		4932.YLR298C;
P53330	P32597; P32591	4932.YGR275W;
P53072		4932.YGL232W;
P39955	Q05080; P36006; Q04439	4932.YER047C;
P53075		4932.YGL228W;
P38713	P45818; P32368; P40075	4932.YHR073W;
P39937		4932.YER007W;
P53167		4932.YGL063W;
Q05672		4932.YDL189W;
P38222		4932.YBR030W;
P04456	Q01560	4932.YOL127W;
P0CX82		4932.YBR084C-A;
P14120		4932.YGL030W;
P12687		4932.YNL005C;
P35996		4932.YKL170W;
P36160	Q12176; P39744; Q02892; P40010; Q08746; P25582	4932.YKR081C;
P53942	Q05635; Q12338	4932.YNL072W;
P0CX47		4932.YDR025W;
Q02206		4932.YKR008W;
P0CX36		
Q07794	P25293; P53853	4932.YLL002W;
P38200		4932.YBL031W;
Q04401		4932.YDR511W;
Q06132	Q12099; P32383	4932.YLR336C;
Q12745	P53847; P33891; P53146	4932.YLR440C;
P09435		4932.YBL075C;
P32581		4932.YJL106W;
P43623		4932.YFR055W;
P40260	P53390	4932.YGR121C;
P41948		4932.YNL142W;
P38250	P53286	4932.YBR086C;
P01094		4932.YMR174C;
O13555		4932.YLR331C;
P53193	Q03020	4932.YGL018C;
P25583		4932.YCL055W;
P25270		4932.YOR201C;
P32559		4932.YMR023C;
P53077		4932.YGL226W;
P40314		4932.YDR252W;
Q12387		4932.YOL076W;
P34077	P47054; Q02199; Q03790; P48837	4932.YFR002W;
P38757	P18410	4932.YHR004C;
Q99210		4932.YOR111W;
P53035		4932.YGL209W;
P53583		4932.YNL249C;
Q08750		4932.YOR298W;
Q08920	Q02821; P34160	4932.YPL178W;
Q07896	P39744; P25582	4932.YLR002C;
P46970		4932.YJR132W;
P0CE68		4932.YKR103W;
P32860		4932.YKL040C;
P53742	Q12176; Q12522	4932.YNR053C;
P16387		4932.YER178W;
Q06651		4932.YDR313C;
P33302	Q12200; Q02785; Itself; P32568; P40062; Q08234; P32804	4932.YOR153W;
P40473		4932.YIL122W;
P19881		4932.YDL236W;
P06197		4932.YPR113W;
P40302	Q12245; P30656	4932.YMR314W;
P32524	Q07350	4932.YJL203W;
Q12417	P28004	4932.YPL151C;
P08468		4932.YMR257C;
P32857		4932.YKL039W;
P40555	P38872; P33297	4932.YIL007C;
P25847	P39875; P25336; Q03834	4932.YOL090W;
P53725		4932.YNR024W;
P15424		4932.YDR194C;
P38069		4932.YBR015C;
Q04149	P38257	4932.YDR386W;
P38795		4932.YHR074W;
P46955		4932.YJL116C;
Q12200	P33302	4932.YPL006W;
P11632	P32597	4932.YPR052C;
Q06287	Itself; Q99207	4932.YLR186W;
P0CE87		
P53124	P17157	4932.YGL134W;
P17442	P17157	4932.YGR233C;
P25586	P38333; P42846; P15646; Q12481; Q12136; P53866; P40362; P53254; Q02354	4932.YCL059C;
P38692	P32464; Q00772; Q08817	4932.YHR102W;
P50107		4932.YML004C;
O14467		4932.YOR298C-A;
P39014	Q12018; Itself; P32389; P52286; Q12020	4932.YIL046W;
Q08471		4932.YOR066W;
P39107	P32629; P23642	4932.YPL050C;
Q08818		4932.YOR354C;
P53163		4932.YGL068W;
P08593		4932.YPR134W;
Q99189		4932.YOR160W;
Q12163	P40563; P48562; P08018; P35182; Q03497	4932.YDR162C;
Q06810	P32334	4932.YPR075C;
P46964	P52870; P32915	4932.YOR103C;
P38325		4932.YBR230C;
P36102	P04147; P53010	4932.YKL025C;
A0A023PXB5		4932.YDR112W;
P32361	Q05924; Itself	4932.YHR079C;
P32488		4932.YMR081C;
P47010		4932.YJL142C;
P40309		4932.YJL094C;
P21965	Q00684; P19812	4932.YNL307C;
Q03829		4932.YMR166C;
P34160	Q08920	4932.YMR125W;
P38302	Q03654; Q12309; P32523; Q06091; Q04048; P53277	4932.YBR188C;
P21957	P40075; P22579	4932.YHL020C;
P32473		4932.YBR221C;
Q03723		4932.YML019W;
Q06169	Itself	4932.YLR324W;
P53295	Q03768	4932.YGR173W;
P53859	P48240; P38792; Q08285; Q12277; P25359; Q05636; P53256; P46948; Q08491	4932.YNL232W;
Q03330	Q02336; Q12060; Q00772	4932.YGR252W;
P53260		4932.YGR102C;
P53839		4932.YNL274C;
P53688		4932.YDR191W;
Q12134	P15891	4932.YOR284W;
P12683	P12684	4932.YML075C;
Q12055		4932.YDL166C;
P40327	P38764; P43588; P33299	4932.YDL007W;
P24384		4932.YER013W;
Q12318	P40465	4932.YLR376C;
Q12335	Itself; P38234; P25349	4932.YDR032C;
P17119	P32908; Q12045	4932.YPR141C;
Q06147		4932.YLR260W;
P57743	P47017; P38203; P40070	4932.YLR438C-A;
Q92328	P18409; P41800	4932.YOL009C;
P32570	Q99278; P32569	4932.YBR253W;
P22133		4932.YOL126C;
P25491	Q12285; Q12118; Q7LKB1	4932.YNL064C;
P30952	P33203; P39940	4932.YNL117W;
P32787		4932.YJR144W;
P27705	P02829	4932.YGL035C;
P54785		4932.YMR070W;
P32633		4932.YEL033W;
P40530	P53170	4932.YIL042C;
P33420	P38696; P36224	4932.YPL174C;
P38082		4932.YBR066C;
P08525		4932.YJL166W;
Q9ZZX9		4932.Q0010;
P36166		4932.YKR090W;
P53294		4932.YGR169C;
P36013		4932.YKL029C;
P32489	P25453; P89114	4932.YPL121C;
P32783		4932.YBR236C;
P47074	P26449; P26309; P40958	4932.YJL013C;
P38286		4932.YBR159W;
Q06211	Q06340; Q08273; Q06164; P50874; P47050	4932.YPR164W;
P32334	Q06810	4932.YGR014W;
P33895	P43618; P40460; Q04477; P40014	4932.YOL069W;
P38837		4932.YHR133C;
P36110		4932.YKR013W;
Q04705		4932.YML047C;
P53131	P36009; P36049; P43586; P47035; Q08208; P53927; P37838; P40078; P53335; P10964; Q06411; P53866	4932.YGL120C;
P40048		4932.YER075C;
P40970	P25045	4932.YDR062W;
Q02891		4932.YPL095C;
P42834		4932.YNL328C;
