Entry	Interacts with	Cross-reference (STRING)
P40060	Q03435	4932.YER092W;
P32617		4932.YEL044W;
P28834	P28241	4932.YNL037C;
P41734		4932.YOR126C;
Q08773	P53125	4932.YOR304W;
P47156		4932.YJR119C;
P21954	P16474	4932.YDL066W;
P04806		4932.YFR053C;
P04807		4932.YGL253W;
P17709		4932.YCL040W;
P32464	P38692; Q08817	4932.YKL189W;
P43581	P02829	4932.YFL011W;
P54862		4932.YOL156W;
P40441		
P39924		4932.YEL069C;
P42833		4932.YNL318C;
P54854		4932.YDL245C;
P47185		4932.YJR158W;
P53631		4932.YNR072W;
P32465		4932.YHR094C;
P23585		4932.YMR011W;
P32466		4932.YDR345C;
P32467		4932.YHR092C;
P38695		4932.YHR096C;
P39003		4932.YDR343C;
P39004		4932.YDR342C;
P40886		4932.YJL214W;
P40885		4932.YJL219W;
P07286		4932.YBR243C;
P36035		4932.YKL217W;
P40565	P46947; Q07930	4932.YIR005W;
P38211		4932.YBR004C;
P32363		4932.YPL175W;
P17695		4932.YDR513W;
Q02630	Q12453; P40066; Q06142; Q99257; Q02629; Itself; P47054; P49686; P48837; P40368; P46673	4932.YMR047C;
P38271		4932.YBR129C;
P32854	Q12154; P36015	4932.YOR036W;
P32523	P40968; Q03654; Q12309; Q12046; P21374; P38302; Itself; Q06091; Q04048; P53277; Q06525; Q12208	4932.YLL036C;
P53043	P15108; P02829	4932.YGR123C;
P38958		4932.YDR079W;
Q01329	Q12102; P45976; P29468; P39927; P53538; Q06224	4932.YAL043C;
Q12161		4932.YOL054W;
P24000		4932.YGR148C;
P32496	Q08723; P33298	4932.YFR052W;
P11745		4932.YMR235C;
P25367	Itself; P25294	4932.YCL028W;
Q08746	P47069; P36160	4932.YOR294W;
Q08745		4932.YOR293W;
Q07829		4932.YLL030C;
Q01855		4932.YOL040C;
P39939		4932.YER131W;
P0CX55		4932.YML026C;
P03882		4932.Q0160;
Q03144	Q03148	4932.YMR095C;
P33336		4932.YGR143W;
P42843	P52286	4932.YNL311C;
P25357		4932.YCR033W;
Q03868		4932.YDR104C;
Q04359		4932.YMR017W;
Q08817	P32464; P38692	4932.YOR353C;
P38247	Q00582; Q02205; Itself	4932.YBR077C;
P32343		4932.YKL124W;
P41930		4932.YPL092W;
P47002		4932.YJL156C;
P39926		4932.YMR183C;
P25344	P40073; P23561	4932.YCL032W;
P41806		4932.YGR105W;
P39933		4932.YPR186C;
